province_name,bin,count,variable,bin_label
Agusan del Norte,"(40000.0, 60000.0]",467,housing,40k - 60k
Agusan del Norte,"(60000.0, 80000.0]",215,housing,60k - 80k
Agusan del Norte,"(80000.0, 100000.0]",139,housing,80k - 100k
Agusan del Norte,"(100000.0, 120000.0]",95,housing,100k - 120k
Agusan del Norte,"(120000.0, 140000.0]",69,housing,120k - 140k
Agusan del Norte,"(140000.0, 160000.0]",31,housing,140k - 160k
Agusan del Norte,"(160000.0, 180000.0]",31,housing,160k - 180k
Agusan del Norte,"(180000.0, 200000.0]",16,housing,180k - 200k
Agusan del Norte,"(-0.001, 9000.0]",78,col,0k - 9k
Agusan del Norte,"(9000.0, 18000.0]",652,col,9k - 18k
Agusan del Norte,"(18000.0, 27000.0]",796,col,18k - 27k
Agusan del Norte,"(27000.0, 36000.0]",532,col,27k - 36k
Agusan del Norte,"(36000.0, 45000.0]",267,col,36k - 45k
Agusan del Norte,"(45000.0, 54000.0]",180,col,45k - 54k
Agusan del Norte,"(54000.0, 63000.0]",91,col,54k - 63k
Agusan del Norte,"(63000.0, 72000.0]",67,col,63k - 72k
Agusan del Norte,"(72000.0, 81000.0]",54,col,72k - 81k
Agusan del Norte,"(81000.0, 90000.0]",31,col,81k - 90k
Agusan del Norte,"(-0.001, 19000.0]",389,income,0k - 19k
Agusan del Norte,"(19000.0, 38000.0]",1163,income,19k - 38k
Agusan del Norte,"(38000.0, 57000.0]",577,income,38k - 57k
Agusan del Norte,"(57000.0, 76000.0]",243,income,57k - 76k
Agusan del Norte,"(76000.0, 95000.0]",121,income,76k - 95k
Agusan del Norte,"(95000.0, 114000.0]",87,income,95k - 114k
Agusan del Norte,"(114000.0, 133000.0]",89,income,114k - 133k
Agusan del Norte,"(133000.0, 152000.0]",37,income,133k - 152k
Agusan del Norte,"(152000.0, 171000.0]",36,income,152k - 171k
Agusan del Norte,"(171000.0, 190000.0]",15,income,171k - 190k
Agusan del Norte,"(-0.001, 7000.0]",839,transport,0k - 7k
Agusan del Norte,"(7000.0, 14000.0]",773,transport,7k - 14k
Agusan del Norte,"(14000.0, 21000.0]",477,transport,14k - 21k
Agusan del Norte,"(21000.0, 28000.0]",266,transport,21k - 28k
Agusan del Norte,"(28000.0, 35000.0]",127,transport,28k - 35k
Agusan del Norte,"(35000.0, 42000.0]",94,transport,35k - 42k
Agusan del Norte,"(42000.0, 49000.0]",45,transport,42k - 49k
Agusan del Norte,"(49000.0, 56000.0]",41,transport,49k - 56k
Agusan del Norte,"(56000.0, 63000.0]",29,transport,56k - 63k
Agusan del Norte,"(63000.0, 70000.0]",28,transport,63k - 70k
Agusan del Sur,"(-0.001, 25000.0]",14,food,0k - 25k
Agusan del Sur,"(25000.0, 50000.0]",144,food,25k - 50k
Agusan del Sur,"(50000.0, 75000.0]",393,food,50k - 75k
Agusan del Sur,"(75000.0, 100000.0]",423,food,75k - 100k
Agusan del Sur,"(100000.0, 125000.0]",260,food,100k - 125k
Agusan del Sur,"(125000.0, 150000.0]",112,food,125k - 150k
Agusan del Sur,"(150000.0, 175000.0]",81,food,150k - 175k
Agusan del Sur,"(175000.0, 200000.0]",37,food,175k - 200k
Agusan del Sur,"(200000.0, 225000.0]",30,food,200k - 225k
Agusan del Sur,"(225000.0, 250000.0]",6,food,225k - 250k
Agusan del Sur,"(-0.001, 20000.0]",821,housing,0k - 20k
Agusan del Sur,"(20000.0, 40000.0]",474,housing,20k - 40k
Agusan del Sur,"(40000.0, 60000.0]",105,housing,40k - 60k
Agusan del Sur,"(60000.0, 80000.0]",54,housing,60k - 80k
Agusan del Sur,"(80000.0, 100000.0]",28,housing,80k - 100k
Agusan del Sur,"(100000.0, 120000.0]",14,housing,100k - 120k
Agusan del Sur,"(120000.0, 140000.0]",9,housing,120k - 140k
Agusan del Sur,"(140000.0, 160000.0]",3,housing,140k - 160k
Agusan del Sur,"(160000.0, 180000.0]",5,housing,160k - 180k
Agusan del Sur,"(180000.0, 200000.0]",2,housing,180k - 200k
Agusan del Sur,"(-0.001, 9000.0]",63,col,0k - 9k
Agusan del Sur,"(9000.0, 18000.0]",524,col,9k - 18k
Agusan del Sur,"(18000.0, 27000.0]",522,col,18k - 27k
Agusan del Sur,"(27000.0, 36000.0]",217,col,27k - 36k
Agusan del Sur,"(36000.0, 45000.0]",82,col,36k - 45k
Agusan del Sur,"(45000.0, 54000.0]",41,col,45k - 54k
Agusan del Sur,"(54000.0, 63000.0]",21,col,54k - 63k
Agusan del Sur,"(63000.0, 72000.0]",23,col,63k - 72k
Agusan del Sur,"(72000.0, 81000.0]",8,col,72k - 81k
Agusan del Sur,"(81000.0, 90000.0]",3,col,81k - 90k
Agusan del Sur,"(-0.001, 19000.0]",318,income,0k - 19k
Agusan del Sur,"(19000.0, 38000.0]",825,income,19k - 38k
Agusan del Sur,"(38000.0, 57000.0]",200,income,38k - 57k
Agusan del Sur,"(57000.0, 76000.0]",67,income,57k - 76k
Agusan del Sur,"(76000.0, 95000.0]",37,income,76k - 95k
Agusan del Sur,"(95000.0, 114000.0]",28,income,95k - 114k
Agusan del Sur,"(114000.0, 133000.0]",14,income,114k - 133k
Agusan del Sur,"(133000.0, 152000.0]",7,income,133k - 152k
Agusan del Sur,"(152000.0, 171000.0]",7,income,152k - 171k
Agusan del Sur,"(171000.0, 190000.0]",7,income,171k - 190k
Agusan del Sur,"(-0.001, 7000.0]",695,transport,0k - 7k
Agusan del Sur,"(7000.0, 14000.0]",489,transport,7k - 14k
Agusan del Sur,"(14000.0, 21000.0]",172,transport,14k - 21k
Agusan del Sur,"(21000.0, 28000.0]",70,transport,21k - 28k
Agusan del Sur,"(28000.0, 35000.0]",31,transport,28k - 35k
Agusan del Sur,"(35000.0, 42000.0]",18,transport,35k - 42k
Agusan del Sur,"(42000.0, 49000.0]",10,transport,42k - 49k
Agusan del Sur,"(49000.0, 56000.0]",14,transport,49k - 56k
Agusan del Sur,"(56000.0, 63000.0]",5,transport,56k - 63k
Agusan del Sur,"(63000.0, 70000.0]",3,transport,63k - 70k
Aklan,"(-0.001, 25000.0]",19,food,0k - 25k
Aklan,"(25000.0, 50000.0]",154,food,25k - 50k
Aklan,"(50000.0, 75000.0]",248,food,50k - 75k
Aklan,"(75000.0, 100000.0]",347,food,75k - 100k
Aklan,"(100000.0, 125000.0]",313,food,100k - 125k
Aklan,"(125000.0, 150000.0]",187,food,125k - 150k
Aklan,"(150000.0, 175000.0]",110,food,150k - 175k
Aklan,"(175000.0, 200000.0]",48,food,175k - 200k
Aklan,"(200000.0, 225000.0]",29,food,200k - 225k
Aklan,"(225000.0, 250000.0]",10,food,225k - 250k
Aklan,"(-0.001, 20000.0]",287,housing,0k - 20k
Aklan,"(20000.0, 40000.0]",543,housing,20k - 40k
Aklan,"(40000.0, 60000.0]",245,housing,40k - 60k
Aklan,"(60000.0, 80000.0]",150,housing,60k - 80k
Aklan,"(80000.0, 100000.0]",111,housing,80k - 100k
Aklan,"(100000.0, 120000.0]",54,housing,100k - 120k
Aklan,"(120000.0, 140000.0]",30,housing,120k - 140k
Aklan,"(140000.0, 160000.0]",21,housing,140k - 160k
Aklan,"(160000.0, 180000.0]",21,housing,160k - 180k
Aklan,"(180000.0, 200000.0]",6,housing,180k - 200k
Aklan,"(-0.001, 9000.0]",49,col,0k - 9k
Aklan,"(9000.0, 18000.0]",242,col,9k - 18k
Aklan,"(18000.0, 27000.0]",415,col,18k - 27k
Aklan,"(27000.0, 36000.0]",345,col,27k - 36k
Aklan,"(36000.0, 45000.0]",180,col,36k - 45k
Aklan,"(45000.0, 54000.0]",95,col,45k - 54k
Aklan,"(54000.0, 63000.0]",58,col,54k - 63k
Aklan,"(63000.0, 72000.0]",44,col,63k - 72k
Aklan,"(72000.0, 81000.0]",19,col,72k - 81k
Aklan,"(81000.0, 90000.0]",14,col,81k - 90k
Aklan,"(-0.001, 19000.0]",144,income,0k - 19k
Aklan,"(19000.0, 38000.0]",524,income,19k - 38k
Aklan,"(38000.0, 57000.0]",391,income,38k - 57k
Aklan,"(57000.0, 76000.0]",187,income,57k - 76k
Aklan,"(76000.0, 95000.0]",75,income,76k - 95k
Aklan,"(95000.0, 114000.0]",51,income,95k - 114k
Aklan,"(114000.0, 133000.0]",33,income,114k - 133k
Aklan,"(133000.0, 152000.0]",24,income,133k - 152k
Aklan,"(152000.0, 171000.0]",18,income,152k - 171k
Aklan,"(171000.0, 190000.0]",11,income,171k - 190k
Aklan,"(-0.001, 7000.0]",493,transport,0k - 7k
Aklan,"(7000.0, 14000.0]",391,transport,7k - 14k
Aklan,"(14000.0, 21000.0]",235,transport,14k - 21k
Aklan,"(21000.0, 28000.0]",135,transport,21k - 28k
Aklan,"(28000.0, 35000.0]",91,transport,28k - 35k
Aklan,"(35000.0, 42000.0]",47,transport,35k - 42k
Aklan,"(42000.0, 49000.0]",26,transport,42k - 49k
Aklan,"(49000.0, 56000.0]",19,transport,49k - 56k
Aklan,"(56000.0, 63000.0]",18,transport,56k - 63k
Aklan,"(63000.0, 70000.0]",8,transport,63k - 70k
Albay,"(-0.001, 25000.0]",18,food,0k - 25k
Albay,"(25000.0, 50000.0]",193,food,25k - 50k
Albay,"(50000.0, 75000.0]",462,food,50k - 75k
Albay,"(75000.0, 100000.0]",367,food,75k - 100k
Albay,"(100000.0, 125000.0]",206,food,100k - 125k
Albay,"(125000.0, 150000.0]",106,food,125k - 150k
Albay,"(150000.0, 175000.0]",56,food,150k - 175k
Albay,"(175000.0, 200000.0]",27,food,175k - 200k
Albay,"(200000.0, 225000.0]",14,food,200k - 225k
Albay,"(225000.0, 250000.0]",12,food,225k - 250k
Albay,"(-0.001, 20000.0]",140,housing,0k - 20k
Albay,"(20000.0, 40000.0]",624,housing,20k - 40k
Albay,"(40000.0, 60000.0]",352,housing,40k - 60k
Albay,"(60000.0, 80000.0]",149,housing,60k - 80k
Albay,"(80000.0, 100000.0]",95,housing,80k - 100k
Albay,"(100000.0, 120000.0]",37,housing,100k - 120k
Albay,"(120000.0, 140000.0]",27,housing,120k - 140k
Albay,"(140000.0, 160000.0]",11,housing,140k - 160k
Albay,"(160000.0, 180000.0]",17,housing,160k - 180k
Albay,"(180000.0, 200000.0]",11,housing,180k - 200k
Albay,"(-0.001, 9000.0]",25,col,0k - 9k
Albay,"(9000.0, 18000.0]",343,col,9k - 18k
Albay,"(18000.0, 27000.0]",536,col,18k - 27k
Albay,"(27000.0, 36000.0]",279,col,27k - 36k
Albay,"(36000.0, 45000.0]",106,col,36k - 45k
Albay,"(45000.0, 54000.0]",71,col,45k - 54k
Albay,"(54000.0, 63000.0]",32,col,54k - 63k
Albay,"(63000.0, 72000.0]",33,col,63k - 72k
Albay,"(72000.0, 81000.0]",16,col,72k - 81k
Albay,"(81000.0, 90000.0]",13,col,81k - 90k
Albay,"(-0.001, 19000.0]",142,income,0k - 19k
Albay,"(19000.0, 38000.0]",674,income,19k - 38k
Albay,"(38000.0, 57000.0]",335,income,38k - 57k
Albay,"(57000.0, 76000.0]",131,income,57k - 76k
Albay,"(76000.0, 95000.0]",55,income,76k - 95k
Albay,"(95000.0, 114000.0]",43,income,95k - 114k
Albay,"(114000.0, 133000.0]",29,income,114k - 133k
Albay,"(133000.0, 152000.0]",18,income,133k - 152k
Albay,"(152000.0, 171000.0]",10,income,152k - 171k
Albay,"(171000.0, 190000.0]",13,income,171k - 190k
Albay,"(-0.001, 7000.0]",560,transport,0k - 7k
Albay,"(7000.0, 14000.0]",410,transport,7k - 14k
Albay,"(14000.0, 21000.0]",233,transport,14k - 21k
Albay,"(21000.0, 28000.0]",102,transport,21k - 28k
Albay,"(28000.0, 35000.0]",61,transport,28k - 35k
Albay,"(35000.0, 42000.0]",32,transport,35k - 42k
Albay,"(42000.0, 49000.0]",26,transport,42k - 49k
Albay,"(49000.0, 56000.0]",11,transport,49k - 56k
Albay,"(56000.0, 63000.0]",8,transport,56k - 63k
Albay,"(63000.0, 70000.0]",7,transport,63k - 70k
Antique,"(-0.001, 25000.0]",12,food,0k - 25k
Antique,"(25000.0, 50000.0]",230,food,25k - 50k
Antique,"(50000.0, 75000.0]",468,food,50k - 75k
Antique,"(75000.0, 100000.0]",385,food,75k - 100k
Antique,"(100000.0, 125000.0]",213,food,100k - 125k
Antique,"(125000.0, 150000.0]",101,food,125k - 150k
Antique,"(150000.0, 175000.0]",50,food,150k - 175k
Antique,"(175000.0, 200000.0]",26,food,175k - 200k
Antique,"(200000.0, 225000.0]",19,food,200k - 225k
Antique,"(225000.0, 250000.0]",10,food,225k - 250k
Antique,"(-0.001, 20000.0]",463,housing,0k - 20k
Antique,"(20000.0, 40000.0]",633,housing,20k - 40k
Antique,"(40000.0, 60000.0]",209,housing,40k - 60k
Antique,"(60000.0, 80000.0]",92,housing,60k - 80k
Antique,"(80000.0, 100000.0]",62,housing,80k - 100k
Antique,"(100000.0, 120000.0]",23,housing,100k - 120k
Antique,"(120000.0, 140000.0]",13,housing,120k - 140k
Antique,"(140000.0, 160000.0]",6,housing,140k - 160k
Antique,"(160000.0, 180000.0]",8,housing,160k - 180k
Antique,"(180000.0, 200000.0]",3,housing,180k - 200k
Antique,"(-0.001, 9000.0]",70,col,0k - 9k
Antique,"(9000.0, 18000.0]",481,col,9k - 18k
Antique,"(18000.0, 27000.0]",480,col,18k - 27k
Antique,"(27000.0, 36000.0]",223,col,27k - 36k
Antique,"(36000.0, 45000.0]",98,col,36k - 45k
Antique,"(45000.0, 54000.0]",58,col,45k - 54k
Antique,"(54000.0, 63000.0]",39,col,54k - 63k
Antique,"(63000.0, 72000.0]",20,col,63k - 72k
Antique,"(72000.0, 81000.0]",14,col,72k - 81k
Antique,"(81000.0, 90000.0]",17,col,81k - 90k
Antique,"(-0.001, 19000.0]",235,income,0k - 19k
Antique,"(19000.0, 38000.0]",603,income,19k - 38k
Antique,"(38000.0, 57000.0]",301,income,38k - 57k
Antique,"(57000.0, 76000.0]",135,income,57k - 76k
Antique,"(76000.0, 95000.0]",82,income,76k - 95k
Antique,"(95000.0, 114000.0]",50,income,95k - 114k
Antique,"(114000.0, 133000.0]",20,income,114k - 133k
Antique,"(133000.0, 152000.0]",26,income,133k - 152k
Antique,"(152000.0, 171000.0]",17,income,152k - 171k
Antique,"(171000.0, 190000.0]",10,income,171k - 190k
Antique,"(-0.001, 7000.0]",695,transport,0k - 7k
Antique,"(7000.0, 14000.0]",413,transport,7k - 14k
Antique,"(14000.0, 21000.0]",184,transport,14k - 21k
Antique,"(21000.0, 28000.0]",87,transport,21k - 28k
Antique,"(28000.0, 35000.0]",43,transport,28k - 35k
Antique,"(35000.0, 42000.0]",32,transport,35k - 42k
Antique,"(42000.0, 49000.0]",15,transport,42k - 49k
Antique,"(49000.0, 56000.0]",16,transport,49k - 56k
Antique,"(56000.0, 63000.0]",8,transport,56k - 63k
Antique,"(63000.0, 70000.0]",4,transport,63k - 70k
Apayao,"(-0.001, 25000.0]",3,food,0k - 25k
Apayao,"(25000.0, 50000.0]",43,food,25k - 50k
Apayao,"(50000.0, 75000.0]",86,food,50k - 75k
Apayao,"(75000.0, 100000.0]",154,food,75k - 100k
Apayao,"(100000.0, 125000.0]",177,food,100k - 125k
Apayao,"(125000.0, 150000.0]",123,food,125k - 150k
Apayao,"(150000.0, 175000.0]",53,food,150k - 175k
Apayao,"(175000.0, 200000.0]",34,food,175k - 200k
Apayao,"(200000.0, 225000.0]",18,food,200k - 225k
Apayao,"(225000.0, 250000.0]",12,food,225k - 250k
Apayao,"(-0.001, 20000.0]",165,housing,0k - 20k
Apayao,"(20000.0, 40000.0]",314,housing,20k - 40k
Apayao,"(40000.0, 60000.0]",128,housing,40k - 60k
Apayao,"(60000.0, 80000.0]",64,housing,60k - 80k
Apayao,"(80000.0, 100000.0]",18,housing,80k - 100k
Apayao,"(100000.0, 120000.0]",15,housing,100k - 120k
Apayao,"(120000.0, 140000.0]",5,housing,120k - 140k
Apayao,"(140000.0, 160000.0]",2,housing,140k - 160k
Apayao,"(160000.0, 180000.0]",1,housing,160k - 180k
Apayao,"(-0.001, 9000.0]",17,col,0k - 9k
Apayao,"(9000.0, 18000.0]",87,col,9k - 18k
Apayao,"(18000.0, 27000.0]",259,col,18k - 27k
Apayao,"(27000.0, 36000.0]",171,col,27k - 36k
Apayao,"(36000.0, 45000.0]",102,col,36k - 45k
Apayao,"(45000.0, 54000.0]",23,col,45k - 54k
Apayao,"(54000.0, 63000.0]",25,col,54k - 63k
Apayao,"(63000.0, 72000.0]",17,col,63k - 72k
Apayao,"(72000.0, 81000.0]",4,col,72k - 81k
Apayao,"(81000.0, 90000.0]",4,col,81k - 90k
Apayao,"(-0.001, 19000.0]",40,income,0k - 19k
Apayao,"(19000.0, 38000.0]",274,income,19k - 38k
Apayao,"(38000.0, 57000.0]",175,income,38k - 57k
Apayao,"(57000.0, 76000.0]",90,income,57k - 76k
Apayao,"(76000.0, 95000.0]",42,income,76k - 95k
Apayao,"(95000.0, 114000.0]",27,income,95k - 114k
Apayao,"(114000.0, 133000.0]",15,income,114k - 133k
Apayao,"(133000.0, 152000.0]",7,income,133k - 152k
Apayao,"(152000.0, 171000.0]",7,income,152k - 171k
Apayao,"(171000.0, 190000.0]",11,income,171k - 190k
Apayao,"(-0.001, 7000.0]",294,transport,0k - 7k
Apayao,"(7000.0, 14000.0]",237,transport,7k - 14k
Apayao,"(14000.0, 21000.0]",86,transport,14k - 21k
Apayao,"(21000.0, 28000.0]",34,transport,21k - 28k
Apayao,"(28000.0, 35000.0]",20,transport,28k - 35k
Apayao,"(35000.0, 42000.0]",13,transport,35k - 42k
Apayao,"(42000.0, 49000.0]",9,transport,42k - 49k
Apayao,"(49000.0, 56000.0]",3,transport,49k - 56k
Apayao,"(56000.0, 63000.0]",1,transport,56k - 63k
Apayao,"(63000.0, 70000.0]",7,transport,63k - 70k
Aurora,"(-0.001, 25000.0]",14,food,0k - 25k
Aurora,"(25000.0, 50000.0]",164,food,25k - 50k
Aurora,"(50000.0, 75000.0]",405,food,50k - 75k
Aurora,"(75000.0, 100000.0]",358,food,75k - 100k
Aurora,"(100000.0, 125000.0]",226,food,100k - 125k
Aurora,"(125000.0, 150000.0]",137,food,125k - 150k
Aurora,"(150000.0, 175000.0]",82,food,150k - 175k
Aurora,"(175000.0, 200000.0]",61,food,175k - 200k
Aurora,"(200000.0, 225000.0]",40,food,200k - 225k
Aurora,"(225000.0, 250000.0]",15,food,225k - 250k
Aurora,"(-0.001, 20000.0]",395,housing,0k - 20k
Aurora,"(20000.0, 40000.0]",648,housing,20k - 40k
Aurora,"(40000.0, 60000.0]",230,housing,40k - 60k
Aurora,"(60000.0, 80000.0]",100,housing,60k - 80k
Aurora,"(80000.0, 100000.0]",83,housing,80k - 100k
Aurora,"(100000.0, 120000.0]",42,housing,100k - 120k
Aurora,"(120000.0, 140000.0]",16,housing,120k - 140k
Aurora,"(140000.0, 160000.0]",10,housing,140k - 160k
Aurora,"(160000.0, 180000.0]",6,housing,160k - 180k
Aurora,"(180000.0, 200000.0]",1,housing,180k - 200k
Aurora,"(-0.001, 9000.0]",43,col,0k - 9k
Aurora,"(9000.0, 18000.0]",400,col,9k - 18k
Aurora,"(18000.0, 27000.0]",480,col,18k - 27k
Aurora,"(27000.0, 36000.0]",242,col,27k - 36k
Aurora,"(36000.0, 45000.0]",141,col,36k - 45k
Aurora,"(45000.0, 54000.0]",83,col,45k - 54k
Aurora,"(54000.0, 63000.0]",45,col,54k - 63k
Aurora,"(63000.0, 72000.0]",41,col,63k - 72k
Aurora,"(72000.0, 81000.0]",24,col,72k - 81k
Aurora,"(81000.0, 90000.0]",13,col,81k - 90k
Aurora,"(-0.001, 19000.0]",167,income,0k - 19k
Aurora,"(19000.0, 38000.0]",687,income,19k - 38k
Aurora,"(38000.0, 57000.0]",321,income,38k - 57k
Aurora,"(57000.0, 76000.0]",123,income,57k - 76k
Aurora,"(76000.0, 95000.0]",84,income,76k - 95k
Aurora,"(95000.0, 114000.0]",47,income,95k - 114k
Aurora,"(114000.0, 133000.0]",29,income,114k - 133k
Aurora,"(133000.0, 152000.0]",24,income,133k - 152k
Aurora,"(152000.0, 171000.0]",13,income,152k - 171k
Aurora,"(171000.0, 190000.0]",9,income,171k - 190k
Aurora,"(-0.001, 7000.0]",505,transport,0k - 7k
Aurora,"(7000.0, 14000.0]",529,transport,7k - 14k
Aurora,"(14000.0, 21000.0]",257,transport,14k - 21k
Aurora,"(21000.0, 28000.0]",108,transport,21k - 28k
Aurora,"(28000.0, 35000.0]",54,transport,28k - 35k
Aurora,"(35000.0, 42000.0]",20,transport,35k - 42k
Aurora,"(42000.0, 49000.0]",17,transport,42k - 49k
Aurora,"(49000.0, 56000.0]",13,transport,49k - 56k
Aurora,"(56000.0, 63000.0]",10,transport,56k - 63k
Aurora,"(63000.0, 70000.0]",7,transport,63k - 70k
Basilan,"(-0.001, 25000.0]",11,food,0k - 25k
Basilan,"(25000.0, 50000.0]",130,food,25k - 50k
Basilan,"(50000.0, 75000.0]",614,food,50k - 75k
Basilan,"(75000.0, 100000.0]",675,food,75k - 100k
Basilan,"(100000.0, 125000.0]",361,food,100k - 125k
Basilan,"(125000.0, 150000.0]",155,food,125k - 150k
Basilan,"(150000.0, 175000.0]",79,food,150k - 175k
Basilan,"(175000.0, 200000.0]",44,food,175k - 200k
Basilan,"(200000.0, 225000.0]",17,food,200k - 225k
Basilan,"(225000.0, 250000.0]",10,food,225k - 250k
Basilan,"(-0.001, 20000.0]",953,housing,0k - 20k
Basilan,"(20000.0, 40000.0]",863,housing,20k - 40k
Basilan,"(40000.0, 60000.0]",179,housing,40k - 60k
Basilan,"(60000.0, 80000.0]",61,housing,60k - 80k
Basilan,"(80000.0, 100000.0]",33,housing,80k - 100k
Basilan,"(100000.0, 120000.0]",11,housing,100k - 120k
Basilan,"(140000.0, 160000.0]",2,housing,140k - 160k
Basilan,"(160000.0, 180000.0]",2,housing,160k - 180k
Basilan,"(-0.001, 9000.0]",30,col,0k - 9k
Basilan,"(9000.0, 18000.0]",771,col,9k - 18k
Basilan,"(18000.0, 27000.0]",849,col,18k - 27k
Basilan,"(27000.0, 36000.0]",256,col,27k - 36k
Basilan,"(36000.0, 45000.0]",95,col,36k - 45k
Basilan,"(45000.0, 54000.0]",51,col,45k - 54k
Basilan,"(54000.0, 63000.0]",27,col,54k - 63k
Basilan,"(63000.0, 72000.0]",12,col,63k - 72k
Basilan,"(72000.0, 81000.0]",5,col,72k - 81k
Basilan,"(81000.0, 90000.0]",4,col,81k - 90k
Basilan,"(-0.001, 19000.0]",147,income,0k - 19k
Basilan,"(19000.0, 38000.0]",1322,income,19k - 38k
Basilan,"(38000.0, 57000.0]",388,income,38k - 57k
Basilan,"(57000.0, 76000.0]",109,income,57k - 76k
Basilan,"(76000.0, 95000.0]",72,income,76k - 95k
Basilan,"(95000.0, 114000.0]",24,income,95k - 114k
Basilan,"(114000.0, 133000.0]",18,income,114k - 133k
Basilan,"(133000.0, 152000.0]",8,income,133k - 152k
Basilan,"(152000.0, 171000.0]",4,income,152k - 171k
Basilan,"(171000.0, 190000.0]",3,income,171k - 190k
Basilan,"(-0.001, 7000.0]",990,transport,0k - 7k
Basilan,"(7000.0, 14000.0]",714,transport,7k - 14k
Basilan,"(14000.0, 21000.0]",229,transport,14k - 21k
Basilan,"(21000.0, 28000.0]",88,transport,21k - 28k
Basilan,"(28000.0, 35000.0]",24,transport,28k - 35k
Basilan,"(35000.0, 42000.0]",24,transport,35k - 42k
Basilan,"(42000.0, 49000.0]",12,transport,42k - 49k
Basilan,"(49000.0, 56000.0]",7,transport,49k - 56k
Basilan,"(56000.0, 63000.0]",6,transport,56k - 63k
Bataan,"(-0.001, 25000.0]",9,food,0k - 25k
Bataan,"(25000.0, 50000.0]",87,food,25k - 50k
Bataan,"(50000.0, 75000.0]",240,food,50k - 75k
Bataan,"(75000.0, 100000.0]",330,food,75k - 100k
Bataan,"(100000.0, 125000.0]",261,food,100k - 125k
Bataan,"(125000.0, 150000.0]",175,food,125k - 150k
